Player,Status,Pos,labels,X1,X2,g,mp,fg_pct,avg_dist,fg2a_pct_fga,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,fg3a_pct_fga,fg2_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg3_pct,fg2_pct_ast,pct_fg2_dunk,fg2_dunk,fg3_pct_ast,pct_fg3a_corner,fg3_pct_corner,fg3a_heave,fg3_heave,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Lester Hudson,Inactive,PG,Scoring Wing,-1.809104974,0.249530384,57,594,0.375,15.8,0.601,0.206,0.123,0.075,0.198,0.399,0.441,0.654,0.484,0.211,0.28,0.277,0.493,0.008,2,0.75,0.168,0.412,0,0,8.3,22.2,2.5,8.9,5.9,13.3,4.4,5.4,0.806,1.4,5.3,6.7,6.2,2.8,0.7,4.9,4.6,23.5,93,107,13,0.478,0.245,3.1,12,7.5,20.4,2.8,1,16.7,25.4,-0.3,0.5,0.2,0.016,-1.3,-1.4,-2.7,-0.1
Linas Kleiza,Inactive,SF,3-and-D Wing,0.995948913,1.156922652,409,8185,0.435,14.1,0.604,0.294,0.122,0.059,0.129,0.396,0.501,0.64,0.421,0.341,0.335,0.335,0.712,0.063,170,0.969,0.36,0.345,9,0,7.8,18,2.4,7.1,5.4,10.8,3.9,5.2,0.763,2.4,6.7,9.1,2,1,0.5,2.5,5.5,22,106,109,12.4,0.543,0.287,5.5,15,10.3,6.2,1,0.7,11.1,20,7.4,6.3,13.6,0.08,-0.4,-2,-2.4,-0.9
Lorenzo Brown,Inactive,PG,Combo Guard,-2.864969281,-1.370687835,63,834,0.369,12.8,0.717,0.33,0.146,0.116,0.124,0.283,0.455,0.519,0.471,0.259,0.448,0.152,0.329,0.021,4,0.7,0.182,0.083,2,0,5.2,14,0.6,4,4.6,10,1.4,2.2,0.667,1.3,5,6.3,8.5,2.6,0.6,3.3,4.3,12.4,90,111,9.8,0.414,0.155,2.9,11.5,7.1,25.8,2.6,1,18.1,15.8,-0.6,0.4,-0.2,-0.013,-3.2,-1,-4.2,-0.5
Lou Amundson,Inactive,PF,Supporting Center,3.197724306,-1.474009451,428,5507,0.474,4,0.998,0.632,0.225,0.093,0.045,0.002,0.475,0.562,0.305,0.307,0.419,0,0.665,0.126,156,0,0,0,3,0,6,12.8,0,0,6,12.7,2.5,5.6,0.444,6,8.4,14.4,1.8,1.4,2.9,2.8,7.8,14.6,100,106,12,0.479,0.441,13.6,18.4,16,5.2,1.4,4.2,15.5,15.7,0.9,6.1,6.9,0.06,-2.9,1,-2,0.1
Lou Williams,Active,SG,Scoring Wing,-2.736558395,0.137002856,782,18436,0.417,14.9,0.642,0.226,0.129,0.111,0.176,0.358,0.457,0.585,0.394,0.371,0.392,0.345,0.308,0.018,127,0.641,0.23,0.408,17,1,9,21.5,2.7,7.7,6.3,13.8,7.5,9.1,0.827,0.8,3.8,4.6,6.4,1.9,0.4,3.2,3,28.1,111,109,17.9,0.551,0.422,1.8,8.5,5.1,20.5,1.9,0.6,11.2,25.1,34.1,13.5,47.6,0.124,2.2,-2.1,0.1,9.7
Luc Mbah a Moute,Active,PF,3-and-D Wing,0.574467182,1.444829942,621,14388,0.452,9.6,0.869,0.473,0.09,0.066,0.239,0.131,0.471,0.585,0.296,0.302,0.358,0.324,0.704,0.045,131,0.979,0.505,0.357,2,0,5.4,11.9,0.5,1.6,4.9,10.3,2.6,4,0.659,3.3,5.9,9.3,1.9,1.9,0.8,2,4,13.9,103,106,10.7,0.508,0.334,7.1,13.5,10.2,5.7,1.9,1.3,13.1,13.7,5.8,17.4,23.1,0.077,-2.3,1.4,-0.9,4.1
Lucas Nogueira,Active,C,Scoring Center,2.740506439,-0.293025452,92,1336,0.639,4,0.928,0.779,0.096,0.019,0.034,0.072,0.668,0.741,0.35,0,0.286,0.267,0.822,0.409,78,1,0.133,0.5,2,0,5.1,7.9,0.2,0.6,4.9,7.3,2.1,3.3,0.628,3.9,7.6,11.5,1.9,2.5,3.8,2.2,6.5,12.3,122,102,15.3,0.659,0.413,8.7,16.8,12.8,5.3,2.5,6.5,19.4,10.2,2,2.4,4.4,0.158,-0.4,5,4.7,2.3
Luigi Datome,Inactive,SF,3-and-D Wing,0.191558054,0.815094575,55,447,0.414,18.1,0.575,0.134,0.059,0.118,0.263,0.425,0.486,0.72,0.545,0.455,0.367,0.316,0.577,0.022,4,0.96,0.165,0.154,0,0,8.7,21,2.8,8.9,5.9,12.1,1,1.2,0.818,1.9,6.5,8.5,2.3,0.9,0.9,2.3,3.9,21.2,98,109,11.3,0.493,0.059,4,14.7,9.2,7.3,0.9,1.4,9.5,20.4,0,0.3,0.3,0.032,-2.2,-2.5,-4.7,-0.3
Luis Scola,Active,PF,Versatile Forward,2.092588704,0.336366419,743,19001,0.493,9.5,0.964,0.322,0.247,0.113,0.282,0.036,0.499,0.633,0.421,0.43,0.441,0.339,0.656,0.004,31,0.957,0.446,0.413,13,0,10,20.3,0.3,0.7,9.7,19.5,4,5.3,0.74,3.6,9.8,13.5,3.3,1.3,0.6,3.1,5.5,24.2,106,105,16.3,0.535,0.264,8,21.5,14.8,11,1.3,0.9,11.9,22.3,21,24.6,45.7,0.115,-0.9,0.4,-0.5,7.3
Luke Babbitt,Active,SF,3-and-D Wing,-0.301564524,0.504411164,331,4617,0.406,18.4,0.403,0.104,0.133,0.085,0.081,0.597,0.405,0.497,0.393,0.368,0.348,0.406,0.476,0.005,6,0.976,0.267,0.445,0,0,6.2,15.4,3.7,9.2,2.5,6.2,1.2,1.6,0.743,1.2,7.2,8.4,2.2,0.9,0.6,1.6,5.2,17.4,106,110,10.1,0.541,0.104,2.5,16.2,9.3,6.3,0.9,0.9,9.2,15.5,3.4,2.9,6.3,0.065,-0.9,-1.7,-2.7,-0.8
