Player,Status,Pos,labels,X1,X2,g,mp,fg_pct,avg_dist,fg2a_pct_fga,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,fg3a_pct_fga,fg2_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg3_pct,fg2_pct_ast,pct_fg2_dunk,fg2_dunk,fg3_pct_ast,pct_fg3a_corner,fg3_pct_corner,fg3a_heave,fg3_heave,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Darrun Hilliard,Active,SG,Shooting Wing,-1.822581566,1.022089471,77,764,0.385,16.3,0.626,0.175,0.117,0.078,0.261,0.374,0.422,0.6,0.2,0.45,0.388,0.323,0.412,0.016,4,0.903,0.385,0.351,3,0,6.5,17,2,6.3,4.5,10.6,3.3,4.5,0.735,0.5,4.7,5.2,4,1.3,0.2,3.1,4.4,18.4,95,109,8.3,0.486,0.265,1,10.5,5.6,11.6,1.3,0.3,14.1,19.2,-0.4,0.7,0.3,0.02,-3.5,-1.4,-4.9,-0.6
David Lee,Active,PF,Scoring Center,2.484198087,-0.224798723,829,24293,0.535,6.4,0.997,0.498,0.229,0.099,0.17,0.003,0.537,0.666,0.397,0.425,0.415,0.034,0.656,0.092,751,1,0.103,0,3,0,9.6,18,0,0.1,9.6,17.9,4.3,5.6,0.772,4.5,10.8,15.4,3.8,1.3,0.7,3.1,4.6,23.6,114,106,19.1,0.577,0.311,9.9,24,17,12.6,1.3,1,13,20.6,49.6,26.4,76,0.15,0.7,0.9,1.6,22.3
David West,Active,PF,Versatile Forward,1.793204014,-0.184276353,961,28145,0.493,10,0.981,0.273,0.229,0.192,0.287,0.019,0.497,0.614,0.451,0.417,0.475,0.261,0.615,0.027,276,0.907,0.198,0.317,8,0,10.3,20.9,0.1,0.4,10.2,20.5,4.7,5.8,0.818,3.2,8.7,11.9,4,1.3,1.5,3,4.3,25.4,109,104,18.5,0.542,0.275,7.1,19,13.1,13.3,1.3,2.2,11.2,23.1,42.8,39.5,82.4,0.14,0.1,1.4,1.4,24.5
Davis Bertans,Active,PF,3-and-D Wing,0.414926331,1.022479421,67,808,0.44,20.4,0.261,0.15,0.03,0.026,0.056,0.739,0.557,0.714,0.286,0.167,0.462,0.399,0.765,0.073,16,0.957,0.202,0.486,1,0,6.5,14.8,4.4,10.9,2.1,3.8,1.8,2.1,0.824,1.4,4.8,6.2,2.9,1.3,1.8,2,4.7,19.1,115,105,12.9,0.609,0.145,3.2,10.4,6.9,8.3,1.3,2.8,11.4,15.7,1.1,1.2,2.3,0.135,1.2,0.6,1.8,0.8
DeAndre Jordan,Active,C,Supporting Center,4.122123447,-0.775610558,673,18621,0.677,1.8,0.997,0.829,0.156,0.008,0.003,0.003,0.679,0.726,0.453,0.367,0.182,0.091,0.707,0.492,1608,0,0.091,0,0,0,6.8,10.1,0,0,6.8,10.1,3.2,7.5,0.43,5.8,12.9,18.7,1.2,1.1,3.3,2.3,5,16.9,120,101,18.3,0.631,0.744,13.1,28.2,20.8,3.6,1.1,5.2,14.8,13.9,35.4,31.6,66.9,0.173,-0.6,2.7,2.2,19.6
DeAndre Liggins,Active,SG,Shooting Wing,-0.857265823,1.471462432,119,1183,0.414,11.3,0.679,0.442,0.126,0.033,0.079,0.321,0.445,0.568,0.222,0,0.294,0.348,0.615,0.023,3,0.958,0.464,0.438,1,0,3.8,9.2,1,3,2.8,6.3,1.8,3.3,0.558,1.7,5.9,7.6,3.2,3,0.7,2.8,5.1,10.5,94,106,8.2,0.492,0.358,3.9,12.5,8.4,8.5,3,1.1,21,12,-0.4,1.5,1.1,0.044,-3.4,1.6,-1.8,0.1
DeJuan Blair,Inactive,PF,Supporting Center,3.10718351,-0.776575301,424,7054,0.524,4.6,0.996,0.548,0.327,0.096,0.025,0.004,0.526,0.631,0.412,0.364,0.333,0,0.704,0.039,82,0,0,0,4,0,9.1,17.4,0,0.1,9.1,17.3,2.8,4.6,0.608,5.9,9.8,15.8,2.6,2.3,0.9,3.4,7.3,21,106,102,16.5,0.541,0.264,13.6,21.6,17.7,7.8,2.3,1.3,15.1,20.2,7.5,11.5,19,0.129,-0.9,1.2,0.4,4.2
Delon Wright,Active,PG,Combo Guard,-2.859079064,-0.609602717,54,675,0.434,9.4,0.781,0.434,0.214,0.066,0.066,0.219,0.458,0.565,0.381,0.308,0.154,0.349,0.143,0.031,6,0.467,0.209,0.222,0,0,6.4,14.8,1.1,3.3,5.3,11.6,5.1,6.8,0.756,1.8,4.6,6.4,6.7,2.6,1.1,3.1,2.9,19.1,110,107,15.9,0.537,0.459,4.1,10.2,7.2,19.7,2.6,1.8,14.8,18.4,0.9,0.8,1.7,0.12,-0.1,0.6,0.5,0.4
DeMar DeRozan,Active,SG,Shooting Wing,-1.102382746,1.003490962,595,20275,0.446,12.3,0.908,0.22,0.172,0.195,0.321,0.092,0.463,0.639,0.439,0.424,0.379,0.281,0.434,0.04,329,0.852,0.409,0.384,15,0,10.5,23.4,0.6,2.2,9.8,21.3,7.9,9.5,0.828,1.2,5.1,6.2,4.3,1.5,0.4,2.9,3.5,29.4,108,110,17.3,0.533,0.408,2.6,11.3,7,14.7,1.5,0.6,9.6,26.7,31.5,12.9,44.4,0.105,0.5,-1.4,-0.9,5.5
DeMarcus Cousins,Active,C,Scoring Center,2.71421565,-0.467297164,487,15570,0.459,8.8,0.92,0.367,0.282,0.07,0.2,0.08,0.47,0.622,0.369,0.337,0.382,0.33,0.479,0.07,505,0.929,0.045,0.207,11,0,11.9,26,0.7,2.1,11.3,23.9,8.7,11.8,0.736,4.6,12.4,17,4.7,2.2,1.9,5.4,6.1,33.3,103,104,22.4,0.533,0.455,10.1,28,19,17.4,2.2,2.9,14.8,32,15.4,21.5,36.9,0.114,0.7,1.9,2.6,18.1
DeMarre Carroll,Active,SF,3-and-D Wing,0.087028921,1.440222258,414,9502,0.443,14.5,0.602,0.266,0.142,0.049,0.145,0.398,0.496,0.658,0.357,0.333,0.39,0.361,0.669,0.024,66,0.962,0.359,0.39,4,0,6.6,15,2.2,6,4.5,9,2.6,3.5,0.728,2.5,5.9,8.5,2.5,2.3,0.6,1.6,4.4,18,111,106,13.4,0.544,0.237,5.7,13.2,9.5,7.6,2.3,0.9,9,16,11.6,10.4,22,0.111,0.8,0.5,1.2,7.8
Dennis Schroder,Active,PG,Floor General,-3.217287089,-1.882793639,285,6263,0.433,11.9,0.746,0.37,0.125,0.077,0.174,0.254,0.468,0.547,0.361,0.367,0.417,0.331,0.222,0.004,7,0.699,0.105,0.368,8,0,9.8,22.7,1.9,5.8,7.9,16.9,4.3,5.3,0.818,0.8,4.6,5.4,10,1.7,0.2,5.2,3.7,25.8,100,107,14.8,0.517,0.231,1.8,10,6,34.1,1.7,0.4,17.2,27,1,6.6,7.6,0.059,-0.6,-1.5,-2.1,-0.1
Denzel Valentine,Active,SG,Shooting Wing,-1.203118378,1.290237856,57,976,0.354,20.7,0.278,0.076,0.09,0.042,0.069,0.722,0.363,0.545,0.231,0.417,0.3,0.351,0.517,0,0,0.904,0.303,0.444,1,0,5.3,14.9,3.8,10.7,1.5,4.1,0.7,0.9,0.778,0.6,7.2,7.8,3.3,1.5,0.4,2.5,4.4,15,95,108,7.3,0.492,0.063,1.2,15.6,8.3,9.3,1.5,0.6,14.2,15.4,-0.5,1.1,0.6,0.031,-2.4,-0.3,-2.7,-0.2
DeQuan Jones,Inactive,SF,3-and-D Wing,0.315859334,1.23225199,63,803,0.436,10.4,0.839,0.39,0.183,0.069,0.197,0.161,0.47,0.635,0.225,0.2,0.465,0.257,0.709,0.119,22,1,0.286,0.4,0,0,6.2,14.1,0.6,2.3,5.6,11.9,2.2,3.3,0.667,1.1,5.7,6.8,1,1.2,1.4,1.9,3.6,15.1,93,110,8.4,0.485,0.234,2.4,12.4,7.4,3,1.2,2.1,11.1,15.3,-0.3,0.4,0.1,0.007,-5.1,-1.1,-6.1,-0.8
Derek Fisher,Inactive,PG,Scoring Wing,-2.513389959,0.06629724,997,27104,0.401,17.7,0.632,0.134,0.066,0.077,0.355,0.368,0.415,0.457,0.321,0.357,0.428,0.378,0.504,0.001,3,0.877,0.334,0.405,8,0,5.9,14.7,2,5.3,3.9,9.5,3.2,3.9,0.817,0.7,3.5,4.2,6,2.1,0.2,2.3,4.2,16.9,107,107,11.7,0.514,0.266,1.4,7.6,4.6,17.4,2.1,0.2,12.4,16.2,32,30.2,62.3,0.091,-0.2,-0.7,-0.9,9.3
Deron Williams,Active,PG,Floor General,-3.386230019,-2.496370786,845,28865,0.445,14.3,0.699,0.249,0.122,0.088,0.24,0.301,0.482,0.584,0.409,0.417,0.437,0.357,0.321,0.009,79,0.668,0.117,0.417,34,3,8.8,19.9,2.1,6,6.7,13.9,5.2,6.3,0.822,0.6,4.1,4.7,12.4,1.6,0.4,4.4,3.9,25,112,110,18.2,0.552,0.319,1.4,9.3,5.4,39.5,1.6,0.6,16.1,23.5,58.4,18.9,77.3,0.129,3.2,-2,1.3,23.8
Derrick Favors,Active,PF,Scoring Center,2.831327193,-0.068026326,479,12348,0.51,6.6,0.994,0.462,0.239,0.174,0.119,0.006,0.512,0.687,0.372,0.379,0.309,0.154,0.649,0.137,549,1,0.231,0.333,4,0,9.4,18.5,0,0.1,9.4,18.4,4.6,6.9,0.664,5,9.7,14.7,2.2,1.7,2.7,3.1,5.7,23.4,108,103,18.6,0.545,0.372,10.9,21.5,16.2,7.3,1.7,4.1,12.6,21.4,16.5,17.1,33.5,0.13,-0.8,1.6,0.8,8.7
Derrick Rose,Active,PG,Combo Guard,-2.474344698,-1.387447477,470,16292,0.451,11.5,0.846,0.326,0.161,0.127,0.232,0.154,0.479,0.567,0.438,0.426,0.414,0.298,0.258,0.013,102,0.661,0.079,0.323,36,1,11.3,25.1,1.2,3.9,10.1,21.2,5.3,6.4,0.82,1.3,4.2,5.5,8.9,1.2,0.5,4.2,2.1,29,106,109,18.1,0.521,0.257,3,8.8,5.9,30.8,1.2,0.8,13.2,27.9,20.3,14.1,34.4,0.101,1.9,-1.3,0.6,10.6
Derrick Williams,Active,PF,3-and-D Wing,0.529027184,1.634884282,426,8855,0.434,11.9,0.727,0.367,0.127,0.075,0.157,0.273,0.484,0.634,0.274,0.39,0.352,0.3,0.656,0.105,287,0.928,0.287,0.363,5,0,7.7,17.6,1.4,4.8,6.2,12.8,5.2,7.3,0.71,2,7.7,9.8,1.7,1.1,0.6,2.3,3.1,21.9,105,108,13.5,0.526,0.414,4.4,17,10.7,5.4,1.1,0.9,9.9,20.2,7.3,6.8,14.1,0.076,-1.6,-1.6,-3.2,-2.6
DeSagana Diop,Inactive,C,Supporting Center,3.2248585,-0.904552884,601,8403,0.427,6.1,0.995,0.505,0.178,0.189,0.121,0.005,0.429,0.567,0.29,0.306,0.252,0.167,0.645,0.105,114,1,0.167,0,2,0,3.2,7.5,0,0,3.2,7.4,1.1,2.4,0.467,5.3,8.8,14.1,1.7,1.4,4,2.2,7.7,7.5,97,102,9.8,0.441,0.324,11.8,19.2,15.5,4.8,1.4,5.7,20.9,9.3,-0.4,13.2,12.8,0.073,-3.6,3.7,0,4.3
DeShawn Stevenson,Inactive,SG,Shooting Wing,-1.287812046,0.833707541,824,18396,0.406,15.3,0.707,0.252,0.05,0.058,0.347,0.293,0.433,0.527,0.211,0.389,0.404,0.34,0.594,0.031,156,0.9,0.331,0.355,14,0,6.4,15.9,1.6,4.7,4.9,11.2,2.6,3.7,0.698,1.2,4.1,5.3,3.9,1.2,0.4,2.3,3.3,17.1,100,111,9.9,0.487,0.235,2.6,9.2,5.9,11.9,1.2,0.6,11.8,17.1,4.7,7.4,12.1,0.032,-1.5,-1.5,-3,-4.6
Devin Booker,Active,SG,Scoring Wing,-1.495750045,0.20881236,154,4838,0.423,14.7,0.698,0.206,0.129,0.137,0.225,0.302,0.453,0.603,0.431,0.378,0.376,0.354,0.378,0.017,37,0.772,0.159,0.382,3,0,9.7,22.9,2.5,6.9,7.2,16,5.8,6.9,0.835,0.7,3.6,4.3,4.7,1.2,0.4,4,4.7,27.7,103,114,13.4,0.533,0.303,1.6,8.4,4.9,16.1,1.2,0.7,13.3,26.2,2.6,1.3,3.9,0.038,-0.1,-2.6,-2.6,-0.8
Devin Ebanks,Inactive,SG,3-and-D Wing,0.281590016,0.801150429,63,711,0.385,11.9,0.831,0.338,0.16,0.075,0.258,0.169,0.418,0.569,0.265,0.188,0.382,0.222,0.622,0.052,10,0.625,0.472,0.235,2,0,6,15.7,0.6,2.7,5.5,13,3.8,5.3,0.722,3.8,5.2,9,1.8,1.3,0.9,2.6,4.1,16.5,96,107,9.6,0.458,0.338,8.3,10.7,9.6,5.2,1.3,1.2,12.5,17.8,-0.1,0.6,0.5,0.035,-3.5,-1.2,-4.7,-0.5
Devin Harris,Active,PG,Combo Guard,-3.060837977,-0.933694808,846,21552,0.436,12.8,0.707,0.347,0.11,0.085,0.164,0.293,0.482,0.581,0.374,0.396,0.388,0.324,0.297,0.007,43,0.773,0.142,0.416,52,1,7.7,17.7,1.7,5.2,6,12.5,6.2,7.8,0.796,0.6,4,4.7,8.8,2.2,0.4,3.8,4.6,23.3,110,108,16.4,0.551,0.441,1.4,8.9,5.1,27.6,2.2,0.6,15.2,21.9,32.9,18,50.9,0.113,1.6,-1.1,0.5,13.7
Devyn Marble,Inactive,SG,Shooting Wing,-1.587406109,1.599987929,44,457,0.304,15.3,0.53,0.252,0.096,0.061,0.122,0.47,0.377,0.448,0.545,0.143,0.214,0.222,0.478,0.017,2,1,0.37,0.2,0,0,3.9,12.7,1.3,6,2.5,6.7,1.7,4.4,0.375,1.2,6.4,7.6,3.2,2.4,0.3,1.8,4.3,10.7,80,107,5.5,0.366,0.348,2.6,14.4,8.4,8.8,2.4,0.5,10.8,14.5,-0.7,0.4,-0.3,-0.028,-4.8,-0.2,-5,-0.3
Dewayne Dedmon,Active,C,Supporting Center,3.948127101,-1.50263104,224,3270,0.571,3.8,0.999,0.658,0.223,0.062,0.056,0.001,0.572,0.67,0.375,0.429,0.368,0,0.674,0.273,158,0,0,0,0,0,6,10.6,0,0,6,10.5,2.7,4.1,0.668,5.5,12.3,17.8,1.1,1.3,2.8,2.5,7.7,14.8,114,101,14.9,0.599,0.389,12.1,27.3,19.7,3.2,1.3,4.4,16.9,13.2,4.3,5.6,9.9,0.145,-2.8,1.7,-1.2,0.7
Dexter Pittman,Inactive,C,Supporting Center,3.113645636,-1.869362493,50,347,0.45,4.3,1,0.486,0.468,0.046,0,0,0.45,0.604,0.294,0.4,0,0,0.612,0.147,15,0,0,0,0,0,7.4,16.6,0,0,7.4,16.6,2.7,5,0.545,5.8,7.7,13.5,1.4,1.2,1.2,3.3,12.6,17.6,95,101,9.1,0.47,0.303,13.4,16.9,15.3,4.2,1.2,1.9,15.1,19.5,0,0.5,0.5,0.068,-4.4,-1.6,-6,-0.4
Diante Garrett,Inactive,PG,Scoring Wing,-2.670839907,-0.061719943,90,1197,0.373,14.9,0.646,0.178,0.232,0.127,0.108,0.354,0.384,0.571,0.384,0.3,0.176,0.351,0.397,0,0,0.872,0.252,0.429,6,0,5.1,13.7,1.7,4.9,3.4,8.9,0.7,1,0.682,0.7,4.2,4.9,6.6,2.2,0.2,4,3.5,12.6,86,112,7.3,0.445,0.07,1.5,9.5,5.4,19.3,2.2,0.3,21.9,15.8,-1.5,0.5,-1,-0.041,-4.1,-1.3,-5.3,-1
Dion Waiters,Active,SG,Scoring Wing,-2.465604882,0.456838816,335,9572,0.413,13.5,0.72,0.317,0.085,0.068,0.25,0.28,0.44,0.519,0.3,0.395,0.4,0.346,0.318,0.027,97,0.835,0.302,0.375,3,0,9.1,21.9,2.1,6.1,6.9,15.8,3.4,4.8,0.698,0.8,3.9,4.7,4.8,1.8,0.5,3.2,3.5,23.6,98,109,12.3,0.491,0.219,1.7,8.6,5.2,15.7,1.8,0.7,11.9,23.6,0.5,6.9,7.4,0.037,-1,-1.5,-2.5,-1.1
Dirk Nowitzki,Active,PF,Versatile Forward,1.16961846,0.821703109,1265,44777,0.475,15,0.797,0.144,0.084,0.25,0.318,0.203,0.498,0.644,0.408,0.472,0.475,0.384,0.559,0.018,352,0.939,0.103,0.394,20,0,11.4,24.2,1.9,5,9.5,19.2,7.6,8.6,0.879,1.5,10.1,11.6,3.7,1.2,1.3,2.6,3.6,32.4,116,104,22.9,0.578,0.358,3.4,21.8,12.7,12.8,1.2,1.9,8.5,26.8,141.6,59.6,201.3,0.198,3.2,0.2,3.4,66
Domantas Sabonis,Active,PF,Versatile Forward,0.733684175,0.386121014,81,1632,0.399,12.7,0.669,0.283,0.206,0.067,0.114,0.331,0.438,0.551,0.333,0.219,0.473,0.321,0.624,0.035,15,1,0.289,0.283,0,0,5.8,14.5,1.5,4.8,4.2,9.7,1.3,2,0.657,1.4,7.3,8.7,2.5,1.2,1,2.5,6,14.4,93,108,6.9,0.469,0.139,3.1,16.4,9.8,7.2,1.2,1.6,14,15.4,-1,1.8,0.8,0.022,-4.7,-0.1,-4.8,-1.2
Dominic McGuire,Inactive,SF,Versatile Forward,1.074975598,-0.632594781,342,5348,0.419,9.2,0.983,0.427,0.152,0.069,0.334,0.017,0.423,0.551,0.206,0.359,0.371,0.188,0.582,0.104,89,1,0.063,0,1,0,3.8,9.2,0,0.2,3.8,9,1.6,2.4,0.658,3.4,8.1,11.5,4.2,1.5,1.8,2.4,4.9,9.3,98,109,9.8,0.454,0.262,7.4,18.4,12.8,11.5,1.5,2.8,19,11,-0.1,4.2,4.1,0.037,-3.5,1.9,-1.6,0.6
Dominique Jones,Inactive,SG,Combo Guard,-2.544230034,-1.585183026,80,741,0.366,8.1,0.907,0.432,0.291,0.097,0.088,0.093,0.393,0.51,0.288,0.409,0.15,0.095,0.309,0.035,7,0.5,0.476,0.1,2,0,5.8,15.9,0.1,1.5,5.7,14.4,5.5,7.5,0.729,2.3,5.7,8,10.1,2,0.7,5.3,4.5,17.2,92,105,11.9,0.449,0.471,5.1,12.1,8.7,29.2,2,1.1,21.7,21.8,-0.5,0.8,0.3,0.017,-3.7,0.1,-3.6,-0.3
Donald Sloan,Inactive,PG,Combo Guard,-3.067280717,-1.337981384,218,3749,0.409,12.8,0.712,0.317,0.149,0.07,0.176,0.288,0.449,0.56,0.372,0.338,0.358,0.31,0.222,0.006,5,0.806,0.209,0.364,4,0,6.2,15.1,1.3,4.3,4.8,10.7,2.6,3.5,0.754,0.7,5.5,6.2,8.9,1.1,0.1,3.2,2.6,16.3,102,110,11.9,0.491,0.233,1.6,12.1,6.8,27.1,1.1,0.2,16,17.3,1.9,2.1,4,0.051,-1.5,-1.8,-3.2,-1.2
Donatas Motiejunas,Active,PF,Versatile Forward,1.631269669,0.284226905,248,4553,0.469,10.4,0.74,0.264,0.405,0.053,0.019,0.26,0.529,0.641,0.487,0.378,0.276,0.3,0.667,0.024,34,0.992,0.399,0.317,6,0,7.9,16.9,1.3,4.4,6.6,12.5,2.7,4.5,0.6,3.2,7.1,10.3,2.9,1.3,0.9,3.1,5.8,19.9,103,106,12.4,0.526,0.267,7.3,15.6,11.5,9.6,1.3,1.4,14.1,19.3,2.6,4.6,7.2,0.076,-1.7,-0.3,-2,0
Dorell Wright,Inactive,SF,3-and-D Wing,-0.373923083,1.136507329,549,12280,0.424,16.3,0.567,0.214,0.084,0.064,0.205,0.433,0.469,0.656,0.37,0.298,0.368,0.365,0.594,0.058,215,0.963,0.37,0.398,11,0,7,16.6,2.6,7.2,4.4,9.4,2.8,3.5,0.806,1.6,7.3,8.9,3.6,1.8,1.1,2,3.3,19.5,109,107,14.4,0.538,0.211,3.5,16,9.7,10.8,1.8,1.7,10,17.6,13.7,12.1,25.9,0.101,0.1,0.3,0.4,7.4
Dorian Finney-Smith,Active,PF,3-and-D Wing,-0.268071166,1.812650023,81,1642,0.372,16.6,0.426,0.261,0.075,0.024,0.069,0.574,0.479,0.609,0.28,0.125,0.304,0.293,0.647,0.093,26,0.964,0.419,0.263,3,0,3.9,10.6,1.8,6.1,2.2,4.5,1.5,1.9,0.754,1.7,5.3,7,2.1,1.6,0.8,1.4,4,11.1,99,110,7.7,0.486,0.183,3.7,12.4,7.9,6,1.6,1.4,11.1,11.6,-0.1,1.5,1.4,0.041,-2.8,1.3,-1.4,0.2
Doron Lamb,Inactive,SG,Shooting Wing,-1.326932431,0.712049018,100,1272,0.381,16.3,0.607,0.139,0.158,0.139,0.17,0.393,0.372,0.467,0.333,0.356,0.345,0.394,0.603,0,0,0.92,0.346,0.455,2,0,5,13,2,5.1,2.9,7.9,2,2.8,0.7,0.6,3.2,3.8,3,1,0,2.1,4.3,13.9,95,112,6.3,0.488,0.217,1.4,7,4.2,8.8,1,0.1,13,14.4,-0.3,0.4,0.1,0.005,-3.6,-2.3,-5.9,-1.2
Doug McDermott,Active,SF,3-and-D Wing,0.107029356,1.307633327,183,3690,0.446,14.9,0.594,0.233,0.125,0.096,0.139,0.406,0.48,0.588,0.385,0.442,0.414,0.394,0.761,0.021,22,0.98,0.294,0.396,0,0,7.6,17,2.7,6.9,4.8,10.1,2.1,2.5,0.836,0.9,4.8,5.7,1.7,0.4,0.2,1.5,3.2,19.9,109,112,10.4,0.551,0.147,1.8,10.2,6,5.2,0.4,0.2,7.5,17,3.4,2,5.4,0.07,-1,-2.6,-3.7,-1.6
Dragan Bender,Active,PF,3-and-D Wing,0.69918058,1.130200664,43,574,0.354,18.3,0.373,0.205,0.062,0.019,0.087,0.627,0.483,0.576,0.5,0.667,0.214,0.277,0.552,0.031,5,1,0.287,0.345,0,0,4.8,13.4,2.3,8.4,2.4,5,0.3,0.9,0.364,1.9,6.7,8.6,1.9,0.8,1.8,2.7,6.2,12.2,86,113,5.3,0.44,0.068,4.2,15.6,9.7,5.5,0.8,3.1,16.2,14.4,-0.7,0.3,-0.3,-0.029,-4,-0.3,-4.3,-0.3
Draymond Green,Active,PF,Versatile Forward,0.627945817,-0.402449472,397,10627,0.435,12.6,0.633,0.379,0.135,0.045,0.075,0.367,0.494,0.633,0.251,0.301,0.336,0.334,0.667,0.065,178,0.975,0.116,0.365,8,0,5.9,13.6,1.7,5,4.2,8.6,2.9,4.2,0.695,2.3,10.1,12.3,7.5,2.5,1.9,3.3,5.1,16.4,109,99,15.6,0.531,0.312,5.2,21.5,13.7,20.5,2.5,3,17.6,16.7,11.8,21.1,32.9,0.149,0.1,4,4.1,16.4
Drew Gooden,Inactive,PF,Scoring Center,2.352571619,-0.089999069,790,20127,0.462,9.5,0.954,0.337,0.207,0.178,0.233,0.046,0.471,0.581,0.417,0.398,0.418,0.257,0.607,0.059,398,0.955,0.213,0.315,8,0,8.9,19.4,0.2,0.9,8.7,18.5,4.4,5.8,0.76,4.9,9.8,14.6,2.3,1.4,1.2,3,5.1,22.6,105,104,16.3,0.514,0.301,10.6,21.7,16.1,7.6,1.4,1.8,12.1,21.6,18.9,25,43.9,0.105,-1.5,-0.1,-1.5,2.3
Dwight Howard,Active,C,Supporting Center,4.052403856,-0.01932822,954,33291,0.585,3.5,0.995,0.587,0.352,0.043,0.013,0.005,0.588,0.718,0.417,0.278,0.336,0.089,0.575,0.263,2523,1,0.143,0.375,24,0,9.3,15.9,0,0.1,9.3,15.8,7.2,12.8,0.566,5.3,13.5,18.7,2.2,1.4,3,4.4,4.8,25.8,110,99,21.7,0.6,0.806,12,29.3,20.8,7.5,1.4,4.4,17,22.8,56,65.5,121.5,0.175,-0.2,2.9,2.6,38.9
Dwight Powell,Active,PF,Versatile Forward,2.198306197,0.953909662,175,2561,0.501,9.7,0.864,0.449,0.105,0.062,0.246,0.136,0.54,0.738,0.295,0.413,0.319,0.257,0.849,0.143,97,1,0.248,0.2,1,0,7.5,14.9,0.5,2,6.9,12.8,4.8,6.3,0.75,3.9,8.7,12.6,2,2.1,1.4,1.7,5.9,20.2,117,105,17,0.572,0.427,8.4,19.6,13.9,6.4,2.1,2.3,8.8,17.4,4.8,3.5,8.3,0.156,-0.9,1.4,0.5,1.6
Dwyane Wade,Active,SG,Scoring Wing,-1.71139035,-0.7015584,915,32352,0.484,10.4,0.906,0.352,0.156,0.138,0.26,0.094,0.505,0.657,0.459,0.389,0.388,0.287,0.324,0.072,1060,0.394,0.157,0.314,39,3,12.6,26.1,0.7,2.5,11.9,23.6,8.8,11.5,0.768,1.9,5.3,7.2,8.4,2.4,1.3,4.9,3.4,34.8,110,104,24.3,0.559,0.441,4.3,11.6,8,31,2.5,2,13.7,31.9,73.6,43.6,117.2,0.174,4.1,1,5.1,57.7
E'Twaun Moore,Active,SG,Scoring Wing,-1.653037624,0.145358863,380,7106,0.435,14.6,0.675,0.175,0.197,0.125,0.178,0.325,0.467,0.616,0.491,0.36,0.367,0.369,0.416,0.01,23,0.91,0.319,0.4,0,0,7.2,16.5,2,5.4,5.2,11.1,1.4,1.9,0.749,1,3.7,4.8,4.6,1.6,0.7,2.2,3.9,17.8,101,109,11.2,0.512,0.114,2.3,8,5.1,14.3,1.6,1,11.3,17.4,2.3,5.2,7.5,0.051,-1.4,-0.8,-2.2,-0.4
Earl Barron,Inactive,C,Scoring Center,2.192376897,-0.211996326,140,1985,0.371,11.5,0.974,0.291,0.125,0.146,0.412,0.026,0.377,0.46,0.291,0.34,0.357,0.167,0.726,0.022,13,1,0.167,0.333,1,0,6.7,18.1,0.1,0.5,6.7,17.7,3.4,4.8,0.702,5,8,13,1.7,1.2,0.8,2.8,7.1,16.9,89,108,8.6,0.417,0.263,10.9,18.1,14.5,5.3,1.2,1.2,12.2,20.5,-2.4,1.7,-0.6,-0.015,-5.8,-1.6,-7.4,-2.7
Earl Clark,Inactive,PF,Versatile Forward,1.40496055,0.639818492,261,3630,0.403,13.8,0.778,0.269,0.108,0.088,0.313,0.222,0.424,0.601,0.298,0.323,0.344,0.328,0.685,0.077,78,1,0.256,0.281,2,0,6.4,16,1.2,3.6,5.3,12.4,2.1,3.2,0.664,2.8,8.3,11.1,1.9,1.2,1.9,2.5,4.6,16.2,94,105,10.2,0.465,0.201,6.2,17.9,12.1,5.7,1.2,2.9,12.5,17.4,-1.3,4.2,2.9,0.038,-4.1,0.5,-3.6,-1.5
Earl Watson,Inactive,PG,Floor General,-3.363238656,-1.882969639,878,19494,0.411,13.8,0.698,0.282,0.128,0.078,0.209,0.302,0.449,0.55,0.367,0.367,0.393,0.324,0.268,0.007,32,0.847,0.188,0.315,27,1,5.6,13.6,1.3,4.1,4.3,9.5,2.3,3.3,0.703,1.2,4,5.3,10.3,2.3,0.5,4.1,4.7,14.9,100,108,12.1,0.492,0.24,2.7,9,5.9,30.4,2.3,0.7,21.4,16.7,4.4,14.8,19.2,0.047,-1,-0.8,-1.8,1
Ed Davis,Active,PF,Supporting Center,3.288546384,-1.133505026,481,10036,0.562,4.5,1,0.572,0.271,0.119,0.037,0,0.562,0.678,0.432,0.384,0.297,0,0.663,0.157,342,0,0,0,1,0,7.1,12.5,0,0,7.1,12.5,2.8,5,0.568,5.7,10.2,15.8,2.1,1.3,2.3,1.9,6.1,16.9,118,105,16.8,0.575,0.397,12.3,22.7,17.4,6.3,1.3,3.6,11.7,14.6,18.6,11.9,30.5,0.146,-0.4,1.6,1.1,7.9
