PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Total Min,First Player,Second Player,Third Player,Fourth Player,Fifth Player
24.900000000000002,9.533333333333333,19.566666666666666,48.4,2.5999999999999996,6.333333333333333,40.8,3.233333333333333,4.333333333333333,76.23333333333333,2.9666666666666663,7.166666666666667,10.1,5.5,2.8333333333333335,1.5,0.9666666666666667,1.1666666666666667,4.133333333333333,3.7000000000000006,0.6666666666666666,585.4,Combo Guard,Scoring Wing,3-and-D Wing,Scoring Center,Supporting Center
16.366666666666667,6.083333333333333,13.333333333333336,45.18333333333333,1.416666666666667,3.8166666666666664,37.11666666666667,2.7999999999999994,3.8000000000000003,73.26666666666667,1.7833333333333334,5.2,6.983333333333334,3.5666666666666664,2.0166666666666666,1.2,0.9333333333333335,0.7500000000000001,3.0,3.1666666666666665,0.6666666666666666,1041.2,Combo Guard,Shooting Wing,3-and-D Wing,Versatile Forward,Supporting Center
34.8,13.3,27.0,49.5,2.2,5.8,38.2,5.9,7.1,83.4,3.3,10.9,14.1,8.3,4.6,2.2,1.4,1.5,5.3,6.2,0.6,596.6,Floor General,Shooting Wing,Shooting Wing,Scoring Center,Supporting Center
17.75,6.6,13.8,47.4,1.85,4.7,39.2,2.7,3.3,81.75,1.4,5.4,6.800000000000001,4.45,2.0,1.15,0.6,0.6,3.1,3.1,0.6,541.3,Floor General,Shooting Wing,Shooting Wing,3-and-D Wing,Scoring Center
23.9,9.1,19.150000000000002,46.9,1.8750000000000002,4.925,35.95,3.85,5.625000000000001,66.775,2.275,8.0,10.25,5.725,3.375,2.15,1.1500000000000001,1.1,3.825,4.825000000000001,0.5750000000000002,1612.2,Floor General,Shooting Wing,3-and-D Wing,Versatile Forward,Supporting Center
20.03333333333333,7.900000000000001,16.366666666666664,48.833333333333336,1.5999999999999999,4.133333333333333,39.13333333333333,2.6999999999999997,3.466666666666667,76.3,1.8333333333333333,6.733333333333334,8.566666666666668,4.5,2.5,1.4333333333333336,1.1666666666666667,0.7666666666666666,3.5,3.233333333333333,0.5666666666666668,415.6,Scoring Wing,Shooting Wing,3-and-D Wing,Scoring Center,Supporting Center
15.500000000000002,5.785714285714286,11.542857142857143,50.114285714285714,1.5857142857142859,3.914285714285714,39.128571428571426,2.4,3.071428571428572,77.32857142857142,1.1,4.728571428571429,5.799999999999999,3.2857142857142856,1.9000000000000001,1.0285714285714287,0.9428571428571427,0.6714285714285715,2.557142857142857,2.685714285714286,0.5428571428571428,783.9,Combo Guard,Scoring Wing,3-and-D Wing,3-and-D Wing,Scoring Center
20.3,7.4,15.8,47.1,3.4,6.9,48.5,2.1,2.6,80.6,1.1,5.6,6.7,5.3,2.1,0.9,0.5,0.4,3.4,2.6,0.5,123.20000000000002,Floor General,Scoring Wing,Shooting Wing,3-and-D Wing,Versatile Forward
15.15,5.883333333333333,12.066666666666665,48.79999999999999,1.1333333333333333,3.1,36.31666666666666,2.2666666666666666,3.0,72.23333333333333,1.3166666666666667,4.733333333333333,6.066666666666666,3.533333333333333,1.8499999999999999,1.2000000000000002,0.6166666666666666,0.7666666666666667,2.55,2.65,0.4000000000000001,842.7,Floor General,Shooting Wing,3-and-D Wing,Scoring Center,Supporting Center
22.1,9.1,20.5,44.4,1.8,5.6,32.3,2.1,3.2,65.7,2.9,7.3,10.2,5.1,3.3,2.4,0.2,1.2,3.7,3.5,0.4,117.69999999999999,Combo Guard,Scoring Wing,Scoring Wing,Scoring Center,Scoring Center
