,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,First Player,Second Player,Third Player,Fourth Player,Fifth Player
211,OKC,24,3.8,8.7,3,7,43.1,0.5,1.8,30.2,2.1,2.5,86.4,1.3,2.9,4.2,1.3,1.4,0.5,0.4,0.5,1.9,1.5,0.7,S.Adams, E.Kanter, V.Oladipo, A.Roberson, R.Westbrook
212,ORL,20,3.8,9.4,3.7,7.2,51,1.2,2.3,51.1,0.9,1.4,66.7,0.9,3,3.8,2.3,0.9,0.7,0.5,0.3,1.5,1.1,1.7,D.Augustin, E.Fournier, A.Gordon, S.Ibaka, N.Vucevic
213,UTA,23,3.8,8.2,2.9,6,48.2,0.7,1.9,34.9,1.8,2.3,75.9,0.7,2.5,3.3,1.6,1,0.6,0.5,0.2,1.3,2,0.1,B.Diaw, R.Gobert, G.Hayward, G.Hill, J.Ingles
214,ATL,33,3.8,9.2,3.6,6.7,53.6,0.9,1.8,51.7,1.1,1.5,74,0.8,2.8,3.6,2.3,1.1,0.9,0.5,0.4,0.8,1.3,1.9,T.Hardaway Jr., D.Howard, P.Millsap, D.Schroder, T.Sefolosha
215,OKC,35,3.7,9.2,3,6.3,47.1,1.1,2.7,38.9,2.2,3,73.6,0.9,2.9,3.8,1.3,1.1,0.7,0.6,0.4,2,1.9,0.3,S.Adams, J.Grant, V.Oladipo, A.Roberson, R.Westbrook
216,NOP,29,3.7,8.4,3.2,6.7,48.7,0.5,1.7,30,1.4,1.9,77.8,0.6,2.6,3.1,1.9,0.6,0.6,0.7,0.2,1.2,1.6,0.2,D.Cunningham, A.Davis, S.Hill, J.Holiday, E.Moore
217,OKC,29,3.6,8.6,3.2,7.1,44.9,1,2.1,48.4,1.2,1.7,72.9,1,2.5,3.6,1.8,1.1,0.7,0.3,0.4,1.6,1.5,0.5,A.Abrines, S.Adams, A.Roberson, D.Sabonis, R.Westbrook
218,SAS,24,3.6,8.5,2.7,5.9,45.1,0.9,2.1,41.2,2.3,2.5,88.5,0.8,2.3,3,1.8,0.8,0.8,0.4,0.2,1.3,2,1.6,L.Aldridge, P.Gasol, D.Green, K.Leonard, P.Mills
219,NYK,19,3.6,8.1,3,6.7,44.5,0.3,1.3,25,1.7,2.2,80.5,1,1.9,2.9,1.3,0.9,0.4,0.4,0.3,1.4,1.7,-0.8,C.Anthony, C.Lee, K.O'Quinn, D.Rose, L.Thomas
220,CHA,22,3.6,9.6,3,7,42.9,1,3,32.8,2.6,3,86.6,0.5,2.3,2.9,1.9,0.7,0.6,0.3,0.2,1.5,2.1,1.9,N.Batum, M.Belinelli, F.Kaminsky, K.Walker, M.Williams
221,MIA,21,3.6,8.1,2.9,7,41.1,0.9,2.4,35.3,1.6,2,80.5,1,2.7,3.8,1.5,1.2,0.6,0.6,0.4,1.5,1.6,-0.3,G.Dragic, J.Johnson, T.Johnson, D.Waiters, H.Whiteside
222,MIL,21,3.5,7.9,2.9,5.8,49.2,0.7,1.8,39.5,1.5,1.7,88.6,0.6,1.7,2.3,1.7,1,0.9,0.3,0.2,1.7,1.4,-0.8,G.Antetokounmpo, M.Dellavedova, K.Middleton, G.Monroe, T.Snell
223,DET,32,3.5,7.5,3,6.3,47.5,0.4,1.3,33.3,1.1,1.7,64.8,0.9,2.4,3.3,1.6,0.9,0.5,0.3,0.4,1.3,1.1,-0.1,K.Caldwell-Pope, A.Drummond, T.Harris, J.Leuer, I.Smith
224,PHI,19,3.5,8.3,3.1,6.4,47.5,0.8,1.8,45.7,1.3,1.6,80.6,0.7,2.4,3.1,2.1,1.3,1.2,0.6,0.3,1.9,1.4,0.1,R.Covington, G.Henderson, E.Ilyasova, T.McConnell, N.Noel
225,MEM,21,3.4,7.5,2.8,6.3,44.4,0.5,2,26.2,1.3,1.6,82.4,1.2,2,3.2,1.7,0.9,0.7,0.3,0.3,1.4,1.4,0.9,T.Allen, V.Carter, M.Conley, M.Gasol, Z.Randolph
226,MIN,46,3.4,8.4,3.2,6.3,50.3,0.5,1.5,37.3,1.5,2,75,1,2.1,3.1,2,0.9,0.7,0.1,0.4,1.1,1.7,1.1,G.Dieng, S.Muhammad, R.Rubio, K.Towns, A.Wiggins
227,CHA,29,3.3,9.1,3.4,5.9,57.6,1.1,2.2,48.4,1.2,1.4,85.7,0.3,2,2.2,2.1,0.8,0.6,0.2,0.2,1.1,1.1,1.6,N.Batum, M.Belinelli, F.Kaminsky, K.Walker, C.Zeller
228,BOS,30,3.3,6.2,2.4,5.8,41.1,0.7,2.2,30.8,0.8,1,79.3,0.8,2.5,3.2,1.6,1.2,0.4,0.2,0.3,1.6,1.2,0,J.Brown, J.Jerebko, K.Olynyk, T.Rozier, M.Smart
229,CHA,21,3.2,6.4,2.5,5.4,46,0.4,1.5,25,1.1,1.2,88.5,0.2,2.3,2.5,1.4,0.6,0.5,0.6,0.3,1,0.9,0.8,M.Belinelli, F.Kaminsky, M.Kidd-Gilchrist, K.Walker, C.Zeller
230,MEM,23,3.2,6.7,2.1,4.5,46.6,0.7,2.1,34.7,1.7,2,85.1,0.5,2.2,2.7,1.3,0.9,0.7,0.3,0.2,1.3,1.7,1,V.Carter, M.Conley, J.Ennis III, M.Gasol, J.Green
231,LAC,29,3.2,7.6,2.7,5.3,49.7,0.8,1.9,40.7,1.5,2.2,67.7,0.6,2.2,2.8,1.3,0.9,0.3,0.3,0,1.3,1.6,0.6,J.Crawford, B.Griffin, D.Jordan, C.Paul, A.Rivers
232,SAS,23,3.2,7.3,2.7,5.4,48.8,0.7,1.7,42.1,1.3,1.6,80.6,0.8,2.7,3.5,1.7,1.3,0.6,0.4,0.4,1.6,1.5,1.9,D.Dedmon, M.Ginobili, D.Lee, P.Mills, J.Simmons
233,MIA,21,3.2,6.2,2.4,5,48.1,0.4,1.6,27.3,1,1.7,61.1,0.5,2.4,2.9,1.4,1.4,0.2,0.3,0.3,1.3,1.4,-0.6,J.Johnson, T.Johnson, R.McGruder, D.Waiters, H.Whiteside
234,WAS,33,3.1,7.7,3.1,5.7,54,0.7,1.7,40,0.9,1.2,75,0.8,2.1,2.8,1.4,1.2,0.5,0.2,0.2,1.3,1.2,0.2,B.Beal, M.Gortat, M.Morris, K.Oubre Jr., J.Wall
235,DET,26,3.1,6.7,2.5,5.9,41.6,0.5,1.7,27.9,1.3,1.9,68,1,2,3,1.3,0.7,0.7,0.2,0.3,1,1.4,0.1,K.Caldwell-Pope, A.Drummond, T.Harris, S.Johnson, I.Smith
236,MIA,22,3.1,6.1,2.3,5.2,43.9,0.6,2,32.6,1,1.6,60,0.6,2.5,3.1,1.2,1.1,0.5,0.4,0.3,1.5,1.1,-0.5,G.Dragic, W.Ellington, J.Johnson, T.Johnson, H.Whiteside
237,IND,32,3.1,8.3,2.7,5.6,47.8,0.9,2.3,38.4,2.1,2.6,80.7,0.6,1.6,2.2,1.4,0.8,0.6,0.3,0.2,1.4,1.8,1.2,M.Ellis, P.George, C.Miles, J.Teague, M.Turner
238,IND,27,3,7,2.6,5.4,48.3,0.7,1.6,42.9,1,1.4,71.8,1,2.3,3.3,1.6,0.6,0.5,0.1,0.3,1.3,1,1.1,L.Allen, M.Ellis, P.George, J.Teague, M.Turner
239,HOU,23,3,7.7,2.6,5.3,48.4,0.7,2.4,30.9,1.8,2,91.1,0.4,2.2,2.6,1.7,0.7,0.3,0.3,0.4,1,1.3,0.2,T.Ariza, S.Dekker, E.Gordon, J.Harden, M.Harrell
240,MEM,22,3,6,2.1,4.7,44.2,0.5,1.5,34.4,1.3,1.6,80,0.5,1.8,2.3,1.2,0.5,0.4,0.3,0.3,0.7,1.3,0.5,V.Carter, J.Ennis III, M.Gasol, A.Harrison, Z.Randolph
241,POR,26,3,6.7,2.6,5,52.7,0.5,1.4,32.4,1,1.6,65.9,0.7,2.2,2.8,1.3,0.9,0.3,0.3,0.2,1,1.3,-0.1,A.Crabbe, M.Harkless, D.Lillard, M.Plumlee, E.Turner
242,DET,35,2.9,6.3,2.2,5.4,41.5,0.6,1.5,37,1.3,1.4,88,0.5,2.5,3.1,1.1,0.7,0.4,0.3,0.2,1.3,1.3,0.9,A.Baynes, K.Caldwell-Pope, T.Harris, M.Morris, I.Smith
243,MIN,24,2.9,6,2.2,5,43,0.6,1.6,35.9,1.1,1.3,84.4,0.7,1.8,2.4,1.4,0.9,0.7,0.3,0.5,1.8,1.2,0.9,N.Bjelica, G.Dieng, K.Dunn, Z.LaVine, S.Muhammad
244,MIA,25,2.9,5.9,2.1,5.1,41.4,0.3,1.3,21.2,1.4,1.8,75.6,0.6,1.7,2.3,1,0.6,0.5,0.4,0.4,0.8,1.5,-0.5,G.Dragic, J.Johnson, T.Johnson, R.McGruder, H.Whiteside
245,SAS,30,2.8,6.7,2.3,5.2,44.6,0.7,1.6,42.9,1.4,1.8,77.4,0.8,1.9,2.7,1.4,0.7,0.3,0.3,0.3,1.2,1.2,-0.3,L.Aldridge, M.Ginobili, D.Lee, K.Leonard, P.Mills
246,LAC,36,2.8,6,2.3,4.9,46.9,0.6,1.8,34.9,0.8,1,81.1,0.3,1.9,2.1,1.3,0.8,0.4,0.4,0.2,1.3,1.1,-0.2,J.Crawford, R.Felton, B.Griffin, A.Rivers, M.Speights
247,OKC,27,2.7,8.1,2.8,5.3,53.1,0.7,1.7,42.2,1.8,2.2,80,1,2.3,3.3,1.4,0.9,0.5,0.4,0.2,1,1.5,2.2,A.Abrines, S.Adams, E.Kanter, A.Roberson, R.Westbrook
248,SAS,26,2.7,6.7,2.3,5.1,45.9,0.7,1.8,37.5,1.3,1.4,89.2,0.6,2,2.6,1.5,0.7,0.5,0.4,0.3,0.7,0.9,0.6,P.Gasol, M.Ginobili, D.Lee, K.Leonard, P.Mills
249,GSW,34,2.3,6.9,2.5,4.4,56.8,0.7,1.4,52.2,1.3,1.6,81.5,0.6,1.6,2.3,2,0.7,0.4,0.3,0.2,1,1.1,0.6,S.Curry, D.Green, A.Iguodala, J.McGee, K.Thompson
