,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,First Player,Second Player,Third Player,Fourth Player,Fifth Player
37,NOP,7,11.6,25.1,9.3,19.3,48.1,2.1,4.7,45.5,4.4,5.4,81.6,1.9,8.9,10.7,5.6,3.6,2.3,1.1,1,4.4,3.6,0.1,A.Ajinca, A.Davis, B.Hield, S.Hill, J.Holiday
38,NOP,7,11.6,22.9,8.4,22.4,37.6,2.4,6.9,35.4,3.6,5.1,69.4,3.1,10,13.1,5.3,2.6,1.9,1,0.6,4,4.7,2,D.Cousins, A.Davis, S.Hill, J.Holiday, H.Thompson
39,SAS,34,11.5,26,10.1,20.2,50.3,2,4.7,42.5,3.7,4.7,79.4,1.7,8.3,10,6.3,2.5,1.5,1.8,0.7,3.4,4.4,2.2,L.Aldridge, P.Gasol, D.Green, K.Leonard, T.Parker
40,DEN,18,11.5,28.6,10.8,20.3,53.3,2.9,7.4,39.6,4,5,80,1.8,8,9.8,7.7,3.1,1.7,0.4,0.8,4.3,4.1,1.1,W.Chandler, D.Gallinari, G.Harris, N.Jokic, E.Mudiay
41,SAC,10,11.4,23.1,8.6,17.4,49.4,2.3,5.4,42.6,3.6,5.2,69.2,1.5,7.2,8.7,5.2,2.7,1.5,1.2,0.8,4.6,5,-0.7,A.Afflalo, D.Collison, D.Cousins, K.Koufos, G.Temple
42,MEM,25,11.3,22.3,8.7,18.8,46.4,1.9,5.6,33.6,3,3.5,86.2,1.8,7.2,9,5.4,3.2,2.3,0.6,1,4.8,3.5,-1.2,T.Allen, M.Conley, M.Gasol, J.Green, C.Parsons
43,DAL,23,11.2,25,9.5,19.9,47.9,3,6.6,45.4,2.9,3.4,85.9,0.9,7.7,8.7,5.9,2.5,1.7,0.4,0.9,3.4,4,1.2,H.Barnes, S.Curry, Y.Ferrell, W.Matthews, D.Nowitzki
44,ORL,10,11.2,24,9.7,21.1,46,1.2,4.7,25.5,3.4,4.5,75.6,2.1,7.1,9.2,6.1,2.9,2.2,0.5,1,5,4.5,-3.2,A.Gordon, S.Ibaka, E.Payton, N.Vucevic, C.Watson
45,CHI,12,11.1,25.5,10,20.7,48.4,0.9,2.8,32.4,4.6,5.8,78.6,2.7,8.7,11.3,4.1,2,2.1,1.3,1.6,3.3,4.1,4.3,J.Butler, T.Gibson, J.Grant, R.Lopez, D.Wade
46,BKN,22,11.1,26.3,9.2,20.1,45.7,2.7,7.4,36.4,5.3,6.8,77.9,1.9,8.9,10.7,6,3.4,1.9,1.4,1.1,4.7,5.3,0.3,R.Foye, R.Hollis-Jefferson, C.LeVert, J.Lin, B.Lopez
