Player,School,Pos,labels,X1,X2,Status,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
Shore Adenekan,Seattle,Forward,Offensive Big,-2.508685783,-0.646677869,Inactive,56,965,6.4,11.5,0.56,6.4,11.5,0.56,0,0,0,3.9,7.1,0.554,12.8,1.1,1,2.3,3.3,7.6,16.8,105,101.5,13.2,0.565,0.56,0,0.615,252,8.6,16.3,12.4,3.7,1,4.5,18.4,15.4,1,1.4,2.4,0.099,-3.9,0.9,-3
ShunQuez Stephens,South Carolina Upstate,Forward,Versatile Forward,-1.023067208,1.365008331,Inactive,67,1203,6.2,15,0.416,4.8,9.2,0.519,1.5,5.8,0.252,3.1,4.5,0.685,16.4,3,2.1,0.8,3.1,7.3,17,105.5,94.3,14.6,0.497,0.465,0.389,0.301,350,8.7,21.1,15,9.2,2.1,1.5,15.5,17,1.5,2.6,4,0.134,-2.3,0.4,-1.9
Shy McClelland,South Dakota,Guard,Swingman,1.472435523,0.344625252,Inactive,23,663,8.4,17.1,0.493,7.4,14.4,0.515,1,2.7,0.375,4.4,8.6,0.51,7.7,6.9,2.9,0.3,3.5,6.8,22.2,105,108.4,16.7,0.525,0.522,0.158,0.502,273,3,13.2,8,22.6,2.9,0.5,14.3,22,0.9,0.6,1.5,0.091,1,-0.7,0.2
Shyquan Gibbs,NJIT,Guard,Game Manager,2.085949623,-0.363954452,Active,30,623,3.1,8.5,0.368,2.2,5.2,0.414,1,3.3,0.297,1.6,2.4,0.667,3,4.4,2,0.1,2.7,3.9,8.9,92.5,109.2,6,0.459,0.426,0.389,0.284,113,1,5.4,3.1,13.7,2,0.2,21.8,10.7,0,0.5,0.5,0.033,-4.5,-1.6,-6.1
Sid Tomes,Air Force,Guard,Game Manager,2.125413074,0.25281989,Active,17,181,5.1,14.7,0.348,1.9,4.8,0.4,3.2,9.9,0.323,2.2,2.6,0.875,6.1,4.5,2.2,0,1.9,4.8,15.7,102.2,109.1,10.4,0.492,0.457,0.674,0.174,48,0,12.6,6.1,14.8,2.2,0,10.8,15.8,0.1,0.1,0.3,0.062,-1,-2,-2.9
Sidney Sanders,Fairleigh Dickinson,Guard,Game Manager,2.905756728,-0.497876416,Inactive,58,1675,8.5,21.2,0.401,7.1,17,0.419,1.4,4.2,0.328,6.8,9.2,0.737,5.8,9.6,3.4,0.1,4.5,5.2,25.2,105.5,113.9,18.8,0.492,0.434,0.197,0.434,796,2.8,9.1,5.8,37.7,3.4,0.2,15,26.3,3,0.4,3.5,0.083,1.3,-3,-1.7
Sidney Umude,Youngstown State,Forward,Scoring Wing,-1.017038267,-0.368773278,Inactive,49,696,8,17.8,0.446,8,17.7,0.45,0,0.2,0,5.3,8.8,0.6,10.2,2.4,2,1.4,4.2,8.4,21.2,93.5,110.8,12.7,0.481,0.446,0.009,0.491,269,8,12.4,10.2,8.5,2,2.4,16.1,23.2,0.2,0.4,0.6,0.034,-4.4,-1.9,-6.2
Sidy Djitte,Clemson,Center,Offensive Big,-3.797454315,2.179550545,Active,127,1854,5.8,10.9,0.532,5.8,10.9,0.532,0,0.1,0.5,4.2,6.8,0.616,19.9,1.2,2,2.4,3.5,10.1,15.8,112.3,97.8,17.4,0.56,0.534,0.006,0.621,551,16.7,20.8,18.7,3.7,2,4.3,19.9,15.1,3,3.4,6.5,0.139,0.5,3.6,4.1
Sidy Ndir,New Mexico State,Guard,Swingman,0.697355637,-0.539408217,Inactive,28,305,6.7,16.3,0.41,4.1,7.9,0.525,2.6,8.5,0.302,5.3,7.1,0.75,8.3,3.9,0.6,0.8,3.9,6.1,21.3,105.9,97.2,12.2,0.539,0.488,0.518,0.434,102,2.4,12.5,7.7,12.3,0.6,1.3,16.7,20.1,0.4,0.6,1,0.129,-1.1,-0.7,-1.8
Silas Melson,Gonzaga,Guard,Swingman,1.178246567,0.367954128,Active,106,2006,6.2,14.7,0.418,3.5,7.2,0.484,2.7,7.5,0.355,2.9,3.8,0.762,6.1,2.8,1.8,0.4,1.9,5.1,17.8,112.1,95.4,12.3,0.541,0.509,0.509,0.255,577,1.9,8.9,5.8,7.9,1.8,0.7,10.5,16.1,3,4.1,7.1,0.141,2.2,2.8,5.1
Siler Schneider,UC-Davis,Guard,Swingman,1.187198418,-0.454121871,Active,66,1728,7.8,19.6,0.398,5,11.7,0.425,2.8,7.9,0.357,3.9,5.6,0.693,7.1,4.8,1.4,0.1,5.7,6.1,22.3,90.6,100.7,10.2,0.501,0.47,0.404,0.286,642,2.1,11.9,7.1,18.2,1.4,0.3,20.4,24.7,-0.2,2.7,2.6,0.059,-2.7,-0.6,-3.3
Sim Bhullar,New Mexico State,Center,Defensive Big,-4.512176804,-2.501789065,Inactive,65,1643,9.7,15.4,0.633,9.7,15.4,0.633,0,0,0,5.1,10.2,0.496,17.3,2.5,0.3,6.9,3.9,5.8,24.5,115.8,93.7,25,0.607,0.633,0,0.662,648,12.9,20.5,16.9,9,0.3,10.7,16.3,20.4,4.2,3.5,7.7,0.186,1.9,5.2,7.1
Simeon Carter,Iowa State,Forward,Scoring Wing,-2.353261016,-0.430407226,Active,21,54,7.3,12.5,0.583,7.3,12.5,0.583,0,0,0,2.1,6.2,0.333,10.4,0,0,2.1,1,6.2,16.6,109.4,107.1,12.3,0.539,0.583,0,0.5,14,6.6,13.8,10.4,0,0,3.6,6.3,14.7,0.1,0.1,0.1,0.087,-2,-1.8,-3.9
Simeon Esprit,Pennsylvania,Guard,Game Manager,1.244464166,-1.016714636,Inactive,19,69,1.8,6.3,0.286,0.9,3.6,0.25,0.9,2.7,0.333,0,0.9,0,1.8,2.7,0,0,3.6,4.5,4.5,58.6,113.4,-1.7,0.334,0.357,0.429,0.143,6,1.9,2,1.9,8.1,0,0,34.9,9.1,-0.1,0,-0.1,-0.051,-7.2,-2.8,-10
Simeon Marsalis,Vermont,Guard,Game Manager,2.087798203,-0.770430177,Inactive,67,687,2.3,9.5,0.243,1.6,5.2,0.305,0.7,4.2,0.167,4.6,6.1,0.754,5.5,4.3,2,0.3,5.6,4.6,9.9,73.8,99,3.8,0.401,0.28,0.449,0.645,128,1.7,8.3,5.1,12.8,2,0.5,31.1,15,-0.8,1.1,0.3,0.015,-3.8,0.3,-3.5
Simi Fajemisin,San Diego,Forward,Offensive Big,-3.190116055,-0.710724425,Inactive,131,1497,4.5,9.1,0.493,4.5,9,0.495,0,0,0,4.2,6.9,0.605,12.2,0.8,1.3,2.3,4.3,13.1,13.1,94.7,103.3,8.7,0.531,0.493,0.005,0.756,348,10.7,14.3,12.4,2.5,1.3,4,25.7,14.5,0.5,1.7,2.3,0.061,-3.4,1.3,-2.1
